gender.female,gender.male,age,class.1st,class.2nd,class.3rd,class.deck.crew,class.engineering.crew,class.restaurant.staff,class.victualling.crew,embarked.Belfast,embarked.Cherbourg,embarked.Queenstown,embarked.Southampton,fare,sibsp,parch,survived
0,1,48,1,0,0,0,0,0,0,0,1,0,0,50.0911,0,0,0
0,1,29,0,0,1,0,0,0,0,0,0,0,1,7,1,0,0
0,1,23,0,0,1,0,0,0,0,0,0,0,1,7.05,1,0,0
0,1,37,1,0,0,0,0,0,0,0,0,0,1,26.11,0,0,1
0,1,46,1,0,0,0,0,0,0,0,1,0,0,39.12,0,0,0
0,1,22,0,0,1,0,0,0,0,0,0,0,1,7.1511,0,0,0
0,1,40,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
1,0,18,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
1,0,15,0,1,0,0,0,0,0,0,0,0,1,39,0,2,1
1,0,40,0,1,0,0,0,0,0,0,0,0,1,39,1,1,1
1,0,20,0,1,0,0,0,0,0,0,0,0,1,26,1,0,1
0,1,25,0,1,0,0,0,0,0,0,0,0,1,26,1,0,0
1,0,22,0,0,1,0,0,0,0,0,0,1,0,7.0508,0,0,0
0,1,21,0,0,1,0,0,0,0,0,0,1,0,7.1517,0,0,1
1,0,58,1,0,0,0,0,0,0,0,1,0,0,76.051,0,0,1
1,0,10,0,0,1,0,0,0,0,0,1,0,0,15.0411,1,1,0
0,1,19,0,0,1,0,0,0,0,0,0,1,0,6.15,0,0,0
1,0,17,0,0,1,0,0,0,0,0,0,1,0,7.1707,0,0,0
1,0,36,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
0,1,21,0,0,1,0,0,0,0,0,1,0,0,7.0407,0,0,0
0,1,46,1,0,0,0,0,0,0,0,0,0,1,26.11,0,0,0
0,1,42,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,40,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
1,0,21,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
1,0,30,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
0,1,18,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
0,1,38,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
0,1,28,1,0,0,0,0,0,0,0,0,0,1,31,0,0,0
0,1,42,1,0,0,0,0,0,0,0,0,0,1,26.0509,0,0,1
0,1,0.833333333,0,1,0,0,0,0,0,0,0,0,1,29,0,2,1
0,1,26,0,1,0,0,0,0,0,0,0,0,1,29,1,1,1
0,1,17,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
0,1,17,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
1,0,35,0,1,0,0,0,0,0,0,0,0,1,21,0,0,1
1,0,22,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
0,1,21,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
1,0,52,1,0,0,0,0,0,0,0,1,0,0,27.0811,0,0,1
0,1,29,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,28,0,0,1,0,0,0,0,0,1,0,0,14.0902,1,0,0
1,0,18,0,0,1,0,0,0,0,0,1,0,0,14.0902,1,0,0
0,1,36,1,0,0,0,0,0,0,0,1,0,0,512.0607,0,1,1
0,1,17,1,0,0,0,0,0,0,0,0,0,1,47.02,0,0,0
0,1,27,1,0,0,0,0,0,0,0,0,0,1,47.02,0,0,0
1,0,45,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
0,1,54,0,1,0,0,0,0,0,0,0,0,1,26,1,0,0
0,1,11,1,0,0,0,0,0,0,0,0,0,1,120,1,2,1
1,0,36,1,0,0,0,0,0,0,0,0,0,1,120,1,2,1
0,1,36,1,0,0,0,0,0,0,0,0,0,1,120,1,2,1
1,0,36,1,0,0,0,0,0,0,0,1,0,0,27.1405,0,0,1
1,0,25,1,0,0,0,0,0,0,0,0,0,1,78.17,1,0,1
0,1,36,1,0,0,0,0,0,0,0,0,0,1,78.17,1,0,0
0,1,46,1,0,0,0,0,0,0,0,0,0,1,61.0306,1,0,0
1,0,32,1,0,0,0,0,0,0,0,0,0,1,53.02,1,0,1
0,1,52,0,1,0,0,0,0,0,0,0,0,1,13.1,0,0,0
1,0,29,0,1,0,0,0,0,0,0,0,0,1,26,1,0,0
0,1,45,1,0,0,0,0,0,0,0,1,0,0,29.14,0,0,1
1,0,48,1,0,0,0,0,0,0,0,0,0,1,55,0,1,1
0,1,29,0,1,0,0,0,0,0,0,0,0,1,26,1,0,0
1,0,28,0,1,0,0,0,0,0,0,0,0,1,27,1,0,1
1,0,26,1,0,0,0,0,0,0,0,1,0,0,136.1507,1,0,1
1,0,22,1,0,0,0,0,0,0,0,0,0,1,151.16,0,0,1
0,1,40,1,0,0,0,0,0,0,0,0,0,1,52,0,0,0
0,1,24,0,0,1,0,0,0,0,0,0,1,0,7.05,0,0,0
0,1,24,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
0,1,27,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,37,1,0,0,0,0,0,0,0,0,0,1,25.1109,0,0,0
1,0,8,0,1,0,0,0,0,0,0,0,0,1,26.05,0,2,1
0,1,31,0,1,0,0,0,0,0,0,0,0,1,26.05,1,1,0
1,0,30,0,1,0,0,0,0,0,0,0,0,1,26.05,1,1,1
0,1,36,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
1,0,39,1,0,0,0,0,0,0,0,1,0,0,83.0302,1,1,1
0,1,37,1,0,0,0,0,0,0,0,1,0,0,83.0302,1,1,0
1,0,64,1,0,0,0,0,0,0,0,1,0,0,83.0302,0,2,1
0,1,31,0,0,1,0,0,0,0,0,0,1,0,7.1408,0,0,0
0,1,40,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
1,0,23,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,1
1,0,41,0,0,1,0,0,0,0,0,0,1,0,7.1207,0,0,0
0,1,66,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
1,0,22,0,1,0,0,0,0,0,0,0,0,1,10.1,0,0,1
1,0,30,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,35,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
0,1,27,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
0,1,19,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
1,0,55,1,0,0,0,0,0,0,0,0,0,1,25.141,2,0,1
0,1,21,0,1,0,0,0,0,0,0,0,0,1,11.1,0,0,0
0,1,3,0,0,1,0,0,0,0,0,0,0,1,15.18,1,1,1
0,1,9,0,0,1,0,0,0,0,0,0,0,1,15.18,1,1,1
1,0,36,0,0,1,0,0,0,0,0,0,0,1,15.18,0,2,1
0,1,20,0,0,1,0,0,0,0,0,0,0,1,8.0302,0,0,0
1,0,16,0,0,1,0,0,0,0,0,0,0,1,16.02,0,1,1
1,0,39,1,0,0,0,0,0,0,0,0,0,1,26.11,0,2,1
0,1,39,1,0,0,0,0,0,0,0,1,0,0,71.0508,1,0,0
1,0,22,0,0,1,0,0,0,0,0,0,0,1,10.1004,0,0,0
1,0,33,0,0,1,0,0,0,0,0,0,1,0,6.19,0,0,1
0,1,29,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,1
0,1,0.333333333,0,0,1,0,0,0,0,0,0,0,1,14.08,0,2,0
0,1,34,0,0,1,0,0,0,0,0,0,0,1,14.08,1,1,0
0,1,27,1,0,0,0,0,0,0,0,0,0,1,30.1,0,0,1
1,0,36,1,0,0,0,0,0,0,0,0,0,1,151.16,0,0,1
1,0,27,1,0,0,0,0,0,0,0,1,0,0,52,1,2,1
0,1,31,1,0,0,0,0,0,0,0,1,0,0,52,1,0,0
0,1,8,0,1,0,0,0,0,0,0,0,0,1,36.15,1,1,1
0,1,24,0,0,1,0,0,0,0,0,0,0,1,24.03,2,0,0
0,1,19,0,1,0,0,0,0,0,0,0,0,1,73.1,0,0,0
0,1,22,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,22,0,0,1,0,0,0,0,0,0,0,1,24.03,2,0,0
0,1,17,0,0,1,0,0,0,0,0,0,0,1,8.01,2,0,0
1,0,48,0,1,0,0,0,0,0,0,0,0,1,36.15,0,2,1
1,0,28,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
0,1,32,0,0,1,0,0,0,0,0,0,0,1,16.02,1,0,0
0,1,18,0,1,0,0,0,0,0,0,0,0,1,73.1,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0,0,1,20.1106,1,2,1
1,0,0.166666667,0,0,1,0,0,0,0,0,0,0,1,20.1106,1,2,1
0,1,25,0,0,1,0,0,0,0,0,0,0,1,20.1106,1,2,0
1,0,32,0,0,1,0,0,0,0,0,0,0,1,20.1106,1,2,1
0,1,25,0,0,1,0,0,0,0,0,0,0,1,7.1711,0,0,0
1,0,24,0,1,0,0,0,0,0,0,1,0,0,27.1405,1,0,1
0,1,36,0,0,1,0,0,0,0,0,0,0,1,17.08,1,0,1
1,0,36,0,0,1,0,0,0,0,0,0,0,1,17.08,1,0,1
0,1,30,0,0,1,0,0,0,0,0,0,0,1,9.1,0,0,1
0,1,25,0,1,0,0,0,0,0,0,0,0,1,31.1,0,0,0
0,1,22,0,0,1,0,0,0,0,0,0,0,1,7.05,0,0,0
0,1,16,0,0,1,0,0,0,0,0,0,0,1,9.1,0,0,0
1,0,19,0,0,1,0,0,0,0,0,0,1,0,7.1707,0,0,1
0,1,18,0,1,0,0,0,0,0,0,0,0,1,73.1,0,0,0
0,1,31,1,0,0,0,0,0,0,0,0,0,1,57,1,0,1
0,1,42,0,0,1,0,0,0,0,0,0,0,1,8.1303,0,0,0
0,1,52,1,0,0,0,0,0,0,0,0,0,1,81.1702,1,1,1
0,1,4,1,0,0,0,0,0,0,0,0,0,1,81.1702,0,2,1
1,0,34,1,0,0,0,0,0,0,0,0,0,1,81.1702,1,1,1
1,0,18,0,1,0,0,0,0,0,0,0,0,1,23,0,1,1
1,0,34,0,1,0,0,0,0,0,0,0,0,1,23,0,1,1
0,1,37,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
0,1,18,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,1
1,0,27,1,0,0,0,0,0,0,0,1,0,0,247.1005,1,1,1
0,1,50,1,0,0,0,0,0,0,0,1,0,0,106.0806,1,0,0
1,0,31,0,0,1,0,0,0,0,0,0,0,1,12.0906,0,0,1
1,0,28,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
0,1,33,0,0,1,0,0,0,0,0,1,0,0,7.1711,0,0,0
0,1,8,0,1,0,0,0,0,0,0,0,0,1,32.1,0,2,1
1,0,24,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,1
1,0,48,1,0,0,0,0,0,0,0,1,0,0,56.1807,1,0,1
0,1,39,1,0,0,0,0,0,0,0,1,0,0,29.14,0,0,0
0,1,24,0,0,1,0,0,0,0,0,0,0,1,7.11,0,0,1
1,0,27,0,1,0,0,0,0,0,0,1,0,0,13.1702,1,0,1
1,0,30,0,1,0,0,0,0,0,0,1,0,0,13.1702,1,0,1
0,1,65,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
0,1,23,0,0,1,0,0,0,0,0,0,0,1,13.18,1,0,0
1,0,22,0,0,1,0,0,0,0,0,0,0,1,13.18,1,0,1
1,0,23,1,0,0,0,0,0,0,0,1,0,0,83.0302,0,1,1
0,1,18,0,0,1,0,0,0,0,0,0,0,1,7.1506,0,0,0
0,1,25,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,16,0,0,1,0,0,0,0,0,0,0,1,7.1506,0,0,0
0,1,45,0,0,1,0,0,0,0,0,0,0,1,6.1906,0,0,0
0,1,15,0,0,1,0,0,0,0,0,1,0,0,7.0407,1,1,0
0,1,22,0,0,1,0,0,0,0,0,1,0,0,7.0407,1,1,0
0,1,48,0,0,1,0,0,0,0,0,0,0,1,7.05,0,0,0
1,0,5,0,0,1,0,0,0,0,0,0,0,1,12.0906,0,0,1
0,1,21,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,54,1,0,0,0,0,0,0,0,1,0,0,78.0504,1,0,1
0,1,18,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,49,1,0,0,0,0,0,0,0,0,0,1,221.1507,0,0,0
0,1,32,0,1,0,0,0,0,0,0,0,0,1,26,1,0,0
0,1,18,0,1,0,0,0,0,0,0,0,0,1,10.1,0,0,0
0,1,18,0,0,1,0,0,0,0,0,0,0,1,7.1511,0,0,0
1,0,22,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
1,0,42,1,0,0,0,0,0,0,0,1,0,0,110.1708,0,0,1
0,1,28,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
0,1,36,1,0,0,0,0,0,0,0,0,0,1,26.0509,0,0,1
0,1,19,0,0,1,0,0,0,0,0,0,1,0,7.1707,0,0,0
0,1,20,0,0,1,0,0,0,0,0,0,1,0,7.15,0,0,0
1,0,20,0,0,1,0,0,0,0,0,0,0,1,34.0706,2,2,0
1,0,7,0,0,1,0,0,0,0,0,0,0,1,34.0706,2,2,0
0,1,23,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,18,0,0,1,0,0,0,0,0,0,0,1,34.0706,2,2,0
0,1,14,0,0,1,0,0,0,0,0,0,0,1,34.0706,1,3,0
0,1,30,1,0,0,0,0,0,0,0,0,0,1,27.15,0,0,0
1,0,23,1,0,0,0,0,0,0,0,0,0,1,263,3,2,1
0,1,64,1,0,0,0,0,0,0,0,0,0,1,263,1,4,0
1,0,60,1,0,0,0,0,0,0,0,0,0,1,263,1,4,1
0,1,38,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,32,1,0,0,0,0,0,0,0,1,0,0,56.1807,0,0,1
0,1,37,1,0,0,0,0,0,0,0,0,0,1,26.11,0,0,0
0,1,43,1,0,0,0,0,0,0,0,1,0,0,27.1405,1,0,1
1,0,22,1,0,0,0,0,0,0,0,1,0,0,49.1,0,2,1
0,1,60,1,0,0,0,0,0,0,0,1,0,0,79.04,1,1,1
1,0,48,1,0,0,0,0,0,0,0,1,0,0,79.04,1,1,1
1,0,38,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,37,1,0,0,0,0,0,0,0,0,0,1,53.02,1,0,0
0,1,36,0,1,0,0,0,0,0,0,0,0,1,26,0,0,0
0,1,38,0,1,0,0,0,0,0,0,0,0,1,21,1,0,0
0,1,33,0,1,0,0,0,0,0,0,0,0,1,21,1,0,0
0,1,29,0,0,1,0,0,0,0,0,0,1,0,7.141,0,0,0
0,1,23,0,0,1,0,0,0,0,0,0,0,1,14.1,0,0,0
1,0,39,0,1,0,0,0,0,0,0,0,0,1,13,0,0,1
0,1,47,1,0,0,0,0,0,0,0,0,0,1,38.1,0,0,0
1,0,38,0,0,1,0,0,0,0,0,1,0,0,7.0407,0,0,1
1,0,22,1,0,0,0,0,0,0,0,1,0,0,59.08,0,1,1
1,0,44,1,0,0,0,0,0,0,0,1,0,0,59.08,0,1,1
0,1,47,0,1,0,0,0,0,0,0,0,0,1,10.1,0,0,0
0,1,19,0,1,0,0,0,0,0,0,0,0,1,11.1,1,0,0
0,1,21,0,1,0,0,0,0,0,0,0,0,1,11.1,1,0,0
0,1,24,0,1,0,0,0,0,0,0,0,0,1,13.1,0,0,0
0,1,31,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,17,0,0,1,0,0,0,0,0,0,1,0,7.1408,0,0,1
0,1,30,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,47,1,0,0,0,0,0,0,0,1,0,0,89.0201,1,0,1
1,0,40,1,0,0,0,0,0,0,0,1,0,0,89.0201,1,0,1
0,1,71,1,0,0,0,0,0,0,0,1,0,0,34.1301,0,0,0
0,1,9,0,0,1,0,0,0,0,0,0,0,1,20.1006,0,2,1
0,1,33,0,0,1,0,0,0,0,0,0,0,1,20.1006,1,1,0
0,1,1,0,0,1,0,0,0,0,0,0,0,1,46.18,5,2,0
1,0,10,0,0,1,0,0,0,0,0,0,0,1,46.18,5,2,0
1,0,16,0,0,1,0,0,0,0,0,0,0,1,46.18,5,2,0
0,1,14,0,0,1,0,0,0,0,0,0,0,1,46.18,5,2,0
0,1,53,1,0,0,0,0,0,0,0,0,0,1,28.1,0,0,1
1,0,19,1,0,0,0,0,0,0,0,0,0,1,153.0903,0,0,1
0,1,38,1,0,0,0,0,0,0,0,0,0,1,30,0,1,0
1,0,59,1,0,0,0,0,0,0,0,0,0,1,153.0903,0,1,1
0,1,52,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,45,1,0,0,0,0,0,0,0,1,0,0,63.0702,0,1,1
0,1,23,1,0,0,0,0,0,0,0,1,0,0,63.0702,0,1,1
0,1,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,41,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,32,0,0,1,0,0,0,0,0,0,0,1,8.0615,0,0,0
0,1,25,0,0,1,0,0,0,0,0,0,0,1,8.01,0,0,0
0,1,46,1,0,0,0,0,0,0,0,1,0,0,79.04,0,0,0
0,1,19,0,0,1,0,0,0,0,0,0,0,1,9.1611,0,0,0
0,1,37,0,0,1,0,0,0,0,0,0,0,1,7.1806,2,0,0
0,1,28,0,0,1,0,0,0,0,0,0,0,1,7.1806,2,0,0
1,0,24,0,0,1,0,0,0,0,0,0,0,1,8.17,0,0,0
0,1,28,0,0,1,0,0,0,0,0,0,0,1,6.1904,1,0,0
0,1,28,0,0,1,0,0,0,0,0,0,0,1,15.17,1,0,0
1,0,24,0,0,1,0,0,0,0,0,0,0,1,15.17,1,0,1
0,1,30,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
1,0,23,0,1,0,0,0,0,0,0,0,0,1,14.1,0,2,1
0,1,27,0,0,1,0,0,0,0,0,1,0,0,7.0407,0,0,1
0,1,18,0,0,1,0,0,0,0,0,1,0,0,7.0406,0,0,0
0,1,35,0,0,1,0,0,0,0,0,1,0,0,7.0407,0,0,0
0,1,41,0,0,1,0,0,0,0,0,0,0,1,14.0202,2,0,0
0,1,26,0,0,1,0,0,0,0,0,0,0,1,7.1701,1,0,0
0,1,21,0,0,1,0,0,0,0,0,0,0,1,7.1701,0,0,0
0,1,45,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0
0,1,25,1,0,0,0,0,0,0,0,1,0,0,55.081,1,0,1
1,0,21,1,0,0,0,0,0,0,0,1,0,0,55.081,1,0,1
1,0,17,0,0,1,0,0,0,0,0,0,1,0,7.1408,0,0,0
1,0,21,0,0,1,0,0,0,0,0,0,0,1,7.11,0,0,0
0,1,48,1,0,0,0,0,0,0,0,1,0,0,76.1407,1,0,1
0,1,39,0,1,0,0,0,0,0,0,0,0,1,33,0,1,0
0,1,45,1,0,0,0,0,0,0,0,0,0,1,83.0906,1,0,0
0,1,45,0,1,0,0,0,0,0,0,0,0,1,10.1,0,0,0
1,0,7,0,1,0,0,0,0,0,0,0,0,1,26.05,0,2,1
0,1,47,0,1,0,0,0,0,0,0,0,0,1,26.05,1,1,0
0,1,29,0,0,1,0,0,0,0,0,0,1,0,6.1702,0,0,0
1,0,48,0,1,0,0,0,0,0,0,0,0,1,26.05,1,1,1
0,1,45,1,0,0,0,0,0,0,0,0,0,1,30,0,0,1
1,0,24,1,0,0,0,0,0,0,0,1,0,0,83.0302,0,0,1
